Tumor_Barcode	CLS_clonal_early	CLS_clonal_late	CLS_clonal_NA	CLS_subclonal
16MH0041_P2	0.5144789246598075	0.12939761035512778	0.10537670096249585	0.240250580816462
16MH0053_7	0.030158862180820093	0.013374365798885469	0.8039424436496715	0.09455210845878732
16MH0062_P	0.38340476357760134	0.0408065762664231	0.31018056628960866	0.20649195531511277
17MH0013_P1	0.03616313954431201	0.021649233763074677	0.4449039163220628	0.4868239682153572
17MH0022_4R	0.5905667855727309	0.06057781919850885	0.049737014065194804	0.2441966342085248
2GUGKAEN	0.9202331722385532	0.0036869114643017288	0.027726570674106922	0.03955956354939963
5V8LTAZB	0.30599883638781533	0.22507584257989444	0.3301888099294906	0.09056781504107274
AEIUFAVJ	0.6709607796850234	0.04852797356085388	0.06997605638552591	0.1997437021549253
D02326109	0.0046913116907487335	0.012385062863576657	0.8419966222555827	0.12572715331206605
E00934102	0.47819675584579735	0.06027605535761717	0.3452706972824942	0.05909453109973347
E01014101	0.08877572448551029	0.10610037799244015	0.09575808483830324	0.6982360352792945
E01278101	0.017907094557388602	0.002532983854981168	0.9282174401444903	0.03713574590868043
E01317102	0.34917265064002495	0.12269747112082423	0.16693724633156415	0.3477364970340306
EBUS030713B	0.5239553314121037	0.1340057636887608	0.11047070124879924	0.22280259365994237
EBUS050613BA	0.43122485765103313	0.02028099745741468	0.22454728850584318	0.27147171523044417
EBUS070313A	0.37306889352818373	0.054592901878914406	0.02338204592901879	0.5383089770354906
EBUS110413B	0.46744607941947186	0.3013505341664987	0.03991130820399113	0.1390848619229994
EBUS130815A_11R	0.4014727059307574	0.07119692147585222	0.3802049929208466	0.08633541875915147
EBUS230413A_4R	0.3226501249246145	0.30920995950719393	0.2632032394244852	0.04807443783923494
EBUS240713B	0.10830395069268997	0.004886310003053944	0.7675115911046947	0.06660373691662734
EBUS270313A_P	0.18511410492712865	0.05622589165257377	0.08795865240275905	0.6108271419613507
FH5PJAZF	0.014688915777921602	6.472127641612967e-4	0.5560964628415455	0.37240059656133045
IGC-02-1001-T03	0.3586926530714626	0.043921037449519654	0.32548222840946145	0.22083427396092006
IGC-02-1016-T01	0.5743012027782484	0.029815348128070473	0.09019142808741318	0.2380992715568355
IGC-02-1017-T01	0.05594822109275731	0.007008418043202033	0.5944845933926303	0.3299714104193138
IGC-02-1025-T01	0.5354914854156129	0.12392513909964593	0.07620974540549655	0.24459056932501547
IGC-02-1029-T01	0.084170086440234	0.005334846765039728	0.8289531127215577	0.017104688727844233
IGC-02-1074-T01	0.22889550018594274	0.13056898475269618	0.1715507623651915	0.4107846783190777
IGC-02-1097-T01	0.38579446707883414	0.17869454970227072	0.18444969942163594	0.23513490412832275
IGC-02-1105-T01	0.03109650639916984	0.02583881010031131	0.22289865098581807	0.6597025250778278
IGC-02-1169-T01	0.052244331328088846	0.0055298472929199444	0.7709162424803332	0.11048125867653864
IGC-02-1194-T01	0.3763424075924076	0.042925824175824176	0.11285589410589411	0.406968031968032
IGC-02-1212-T01	0.049644195545075584	0.010147795696660912	0.8206240262747905	0.05671817760747821
IGC-03-1026-T02	0.4022409624343929	0.020569676239900928	0.11014920091997406	0.40556702246859705
IGC-03-1049-T03	0.09864632136441917	0.030906835058610027	0.6635247495416752	0.14581211459047055
IGC-03-1076-T06	0.6351054277487073	0.09923522308573551	0.1716877728581602	0.07861411276589157
IGC-03-1088-T03	0.46595059076262085	0.1829752953813104	0.18711063372717507	0.1511278195488722
IGC-03-1254-T10	0.6439696106362773	0.05685343463121241	0.18952200063311175	0.0446343779677113
IGC-03-1263-T05	0.6010497545350092	0.13054907558929008	0.22538386546429443	0.029847498346157863
IGC-03-1265-T04	0.47402012928565584	0.04429533862477157	0.22455881951831547	0.2018383656547473
IGC-03-1267-T01	0.4088864945894037	0.03051951093830515	0.3494402023703565	0.19850564482128635
IGC-03-1294-T03	0.031617322712057916	3.8921611873686394e-4	0.6119774773605957	0.30040997431173616
IGC-03-1321-T01	0.04037009982955929	0.06754321889457024	0.6968103238373509	0.13951789627465302
IGC-03-1328-T07	0.20315921176102597	0.2148889583984986	0.11568136794911897	0.40548430820560943
IGC-04-1041-T03	0.3459752088548421	0.040926501191301985	0.24764001568296287	0.31103537714509755
IGC-04-1059-T02	0.33630360692984945	0.15244248792956547	0.46151661459812554	0.041749502982107355
IGC-04-1089-T01	0.261851475076297	0.04851039093155065	0.22531608777793927	0.412323790146781
IGC-04-1154-T01	0.6609463759926241	0.03571959670463671	0.11990304256015227	0.16994319364720578
IGC-04-1164-T01	0.35446438382307865	0.0927894374627703	0.13629108279886418	0.36164140348036294
IGC-08-1024-T01	0.3290579830536634	0.025153680013291244	0.41774381126432963	0.16966273467353382
IGC-08-1089-T01	0.09299196411885628	0.004896281068959073	0.24070267239768267	0.6439170248551672
IGC-09-1008-T01	0.461254917713219	0.018064104533156905	0.3792516805878809	0.07766737946433845
IGC-09-1042-T02	0.45804995142024346	0.029205006572555293	0.22403840658398583	0.2252386123335429
IGC-09-1086-T02	0.28766380282912435	0.13447019005467326	0.11845873470450403	0.44714917990106745
IGC-09-1113-T01	0.2488811763631382	0.08735957621700612	0.1454470727920358	0.40218284774865287
IGC-10-1021-T04	0.4847354248450832	0.10459721636440321	0.394072608117315	0.0036498718489439705
IGC-10-1037-T03	0.5985990956849011	0.02481639267138862	0.16281592221844698	0.16242387810041556
IGC-10-1044-T01	0.6492064927431388	0.036917303431749336	0.17524980784012298	0.07326943075462314
IGC-10-1045-T01	0.16943201376936318	0.10545037292025244	0.1010441767068273	0.5653930005737234
IGC-10-1055-T01	0.05223310933413423	0.0013765313911726796	0.6567431267284854	0.23285905569946566
IGC-10-1061-T01	0.37398189474745946	0.12963663413773105	0.21569962427818545	0.22008724815291122
IGC-10-1141-T01	0.5545558789803299	0.08397283231895564	0.21257828349651584	0.09058833906677251
IGC-10-1180-T01	0.6017211703958691	0.13769363166953527	0.17142857142857143	0.035398737808376365
IGC-10-1185-T01	0.6649667907301927	0.06701486706010569	0.09395241718245563	0.11572865044930189
IGC-11-1053-T02	0.47663943012780224	0.1182452577801415	0.16920498315847152	0.16665860851907363
IGC-11-1085-T02	2.5757705846999228e-5	0.001167682665063965	0.20880054949772472	0.6981282733751181
IGC-11-1087-T02	0.214537033712706	0.03617204609916347	0.6288909632714609	0.04875596883639105
IGC-11-1108-T02	0.7807786269807473	0.015039110652890155	0.09801196853217384	0.0487034090145012
IGC-11-1120-T01	0.8377578939584411	0.027397766767729054	0.0542039488279228	0.008245211861273386
IGC-11-1128-T07	0.2676056338028169	0.12307692307692308	0.060455037919826655	0.49880823401950164
IGC-11-1132-T01	0.04881230879971207	0.013136584488033112	0.5858376822026273	0.273213964369264
IGC-12-1069-T01	0.4964010636346965	0.14244452594901888	0.2145607922244636	0.08983587016321291
IGC-12-1086-T01	0.49307330371302377	0.04546586455916853	0.13339624372534373	0.25819473387593544
IGC-12-1088-T01	0.12898643597137668	0.0525152194809356	0.241663996582292	0.5209014204848873
IGC-12-1114-T01	0.5059465377935514	0.07985350751340331	0.1901948199048554	0.16178358378011023
IGC-13-1081-T01	0.5509179875371168	0.13086027351428212	0.25896031115386225	0.0015892267157375268
IGC-13-1146-T01	0.6823828399112409	0.05022094941870389	0.11360403588294422	0.08528837218123542
IGC-13-1166-T01	0.1785109983079526	0.2377326565143824	0.3712351945854484	0.14619289340101524
IGC-13-1174-T01	0.5602707536912988	0.06030582541296952	0.26707116052327007	0.04794304352400659
IGC-13-1182-T01	0.8111855706851073	0.002602124474228274	0.09649247879090325	0.03692878020959578
LC3-tumor-1	0.07846320346320346	0.017316017316017316	0.5362554112554112	0.3430735930735931
LC4-tumor-1	0.14344783715012724	0.3212468193384224	0.1453562340966921	0.37786259541984735
LU-4_tumor	0.020358106450821683	NA	0.4226146676477802	0.5057640421878833
LU-51_tumor	0.6500265533722783	0.13170472650026555	0.1975570897503983	0.008497079129049389
LU-6_tumor	0.0967741935483871	0.17935483870967742	0.5681720430107526	0.13720430107526882
LU-FF1_tumor	0.7523418845282557	0.0026327067899344883	0.0075919916732994554	0.1754729688360987
LU-FF107_tumor	0.04927884615384615	0.0021033653846153845	0.8034855769230769	0.08984375
LU-FF20_tumor	0.04338743371364294	0.19701108789972682	0.17338904065563232	0.5743210670094809
LU-FF21_tumor	0.09584086799276673	0.20675105485232068	0.21177416114124975	0.4735784609202331
LU-FF23_tumor	0.01335113484646195	0.8117489986648865	0.0032042723631508676	0.15781041388518025
LU-FF34_tumor	0.061389337641357025	0.033925686591276254	0.592891760904685	0.24474959612277866
LU-FF43_tumor	0.43193367210484085	0.19416956405456004	0.02888472853704199	0.32869751270393155
LU-FF53_tumor	0.4519166721086658	0.06596356037353883	0.0815320316071312	0.33619800169790376
LU-FF57_tumor	0.29365954961386204	0.22227269777402817	0.24797196443636835	0.22928158868193912
LU-FF62_tumor	0.2284942687391226	0.17769909380063614	0.3718718117985957	0.1640580927804117
LU-FF67_tumor	0.015803336259877086	0.007023705004389816	0.9499561018437226	0.017998244073748903
LU-FF76_tumor	0.006130939347492884	NA	0.2242172104225969	0.753667615502518
LU-FF85_tumor	0.5870642268190366	0.01213293794300593	0.18400115723998264	0.15152611022710835
LU-SC126_tumor	0.01278409090909091	0.004734848484848485	0.8643465909090909	0.055634469696969696
LU-SC97_tumor	0.21692789968652038	0.1542319749216301	0.4865203761755486	0.12100313479623824
NSLC-0001-T01	0.24320068708846265	0.2925851703406814	0.3381047809905525	0.11007729745204695
NSLC-0002-T01	0.19473438230253934	0.2670197850132419	0.15859168094718804	0.3611154385418289
NSLC-0003-T01	0.003712105588781192	0.021035265003093422	0.5984739121468344	0.3580119612291194
NSLC-0004-T01	0.23474539069359088	0.35447761194029853	0.33329675153643545	0.06453028972783142
NSLC-0005-T01	0.021756329113924052	0.05849485759493671	0.2599881329113924	0.6502175632911392
NSLC-0006-T01	NA	NA	0.27900287631831255	0.638542665388303
NSLC-0007-T01	7.8125e-4	NA	0.894921875	0.081640625
NSLC-0008-T01	0.42665350444225075	0.36071076011846004	0.04955577492596249	0.14649555774925963
NSLC-0009-T01	0.2804779262859457	0.5814094775212637	0.008100445524503848	0.11867152693398136
